filer_lastname,filer_firstname,filer_office,office_first_name,office_middle_name,office_last_name,report_title,reporting_year,begin_travel_date,end_travel_date,date_received,transaction_date,num_pages,doc_url,file_name,source,id,date_of_birth,gender,party,state,notes,is_member,document_link
KATZ,MAXIMILIAN,"HEINRICH, MARTIN",MARTIN,NA,NA,Employee Reimbursed Travel,2024,2024-04-24,2024-04-26,2024-05-06,2024-05-07,17,https://giftrule-disclosure.senate.gov/media/2024/JfFfadaLEyGDMCbXFgyaQ.pdf,JfFfadaLEyGDMCbXFgyaQ.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
KNOTT,TUCKER,"BUDD,TED",TED,NA,NA,Employee Reimbursed Travel,2024,2024-05-02,2024-05-04,2024-05-29,2024-05-29,20,https://giftrule-disclosure.senate.gov/media/2024/p47qP36LfkSl6R7btdCd9A.pdf,p47qP36LfkSl6R7btdCd9A.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
LANKFORD,JAMES,"LANKFORD, JAMES",JAMES,NA,NA,Member Reimbursed Travel,2024,2024-03-28,2024-04-05,2024-05-06,2024-05-07,28,https://giftrule-disclosure.senate.gov/media/2024/KyW3P3RvY02nJGF10GwnQ.pdf,KyW3P3RvY02nJGF10GwnQ.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,TRUE,NA
MACLEAY,GEOFF,"TILLIS, THOM",THOM,NA,NA,Employee Reimbursed Travel,2024,2024-04-25,2024-04-26,2024-05-23,2024-05-23,17,https://giftrule-disclosure.senate.gov/media/2024/QZpZxSA4k6y9CqiR2wA.pdf,QZpZxSA4k6y9CqiR2wA.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
MILTENBERGER,MATT,"RICKETTS, PETE",PETE,NA,NA,Employee Reimbursed Travel,2024,2024-05-02,2024-05-04,2024-05-13,2024-05-13,18,https://giftrule-disclosure.senate.gov/media/2024/PrH2TSvhzEWJWti9IxUIeg.pdf,PrH2TSvhzEWJWti9IxUIeg.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
MODY,ARJUN,"BARRASSO, JOHN",JOHN,NA,NA,Employee Reimbursed Travel,2024,2024-05-02,2024-05-04,2024-05-13,2024-05-13,20,https://giftrule-disclosure.senate.gov/media/2024/jxv5LZnh0WWW4TdsfirQ.pdf,jxv5LZnh0WWW4TdsfirQ.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
MODY,ARJUN,"BARRASSO, JOHN",JOHN,NA,NA,Employee Reimbursed Travel,2024,2024-04-25,2024-04-26,2024-05-23,2024-05-23,20,https://giftrule-disclosure.senate.gov/media/2024/rzYRc2HyiEWEUOQPhMCYg.pdf,rzYRc2HyiEWEUOQPhMCYg.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
MURPHY,CHRIS,"MURPHY, CHRIS",CHRIS,NA,NA,Member Reimbursed Travel,2024,2024-04-24,2024-04-26,2024-05-30,2024-05-30,17,https://giftrule-disclosure.senate.gov/media/2024/gP5sLT8PxEe8yKu6psCLGg.pdf,gP5sLT8PxEe8yKu6psCLGg.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,TRUE,NA
NIKAS,KATHERINE,"GRAHAM, LINDSEY",LINDSEY,NA,NA,Employee Reimbursed Travel,2024,2024-04-25,2024-04-26,2024-05-06,2024-05-07,18,https://giftrule-disclosure.senate.gov/media/2024/EhFHMzfCUkWRKcIJkEgxxQ.pdf,EhFHMzfCUkWRKcIJkEgxxQ.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
NIKAS,KATHERINE,"GRAHAM, LINDSEY",LINDSEY,NA,NA,Employee Reimbursed Travel,2024,2024-05-02,2024-05-04,2024-05-13,2024-05-13,20,https://giftrule-disclosure.senate.gov/media/2024/ILHiJrnywku1DtTxW4FCpg.pdf,ILHiJrnywku1DtTxW4FCpg.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
PEACOCK,JIMMY,"SCHMITT, ERIC",ERIC,NA,NA,Employee Reimbursed Travel,2024,2024-05-02,2024-05-04,2024-05-13,2024-05-13,18,https://giftrule-disclosure.senate.gov/media/2024/iLuDvhJki06MEv7CWrrQ.pdf,iLuDvhJki06MEv7CWrrQ.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
